NAME,STATE_UT,Coal_OpenCast,Coal_BelowGround,TOT_AREA,TOT_POP,M_POP,F_POP,TOT_LIT,M_LIT,F_LIT,TOT_W,M_W,F_W,TOT_CULT,TOT_AGLB,TOT_NNW,R_TOT_POP,R_TOT_LIT,U_TOT_POP,U_TOT_LIT,ID
Leh (Ladakh),Jammu & Kashmir,0,0,45110,117232,0.548536236,0.451463764,0.58241777,0.679003514,0.46506443,0.495811724,0.583180419,0.389657257,0.084473523,0.002934352,0.504188276,0.755706633,0.53086587,0.244293367,0.741890429,1009
Kargil,Jammu & Kashmir,0,0,14036,119307,0.544435783,0.455564217,0.509634808,0.644015087,0.349039594,0.466401804,0.500808252,0.425283338,0.113689892,0.002061908,0.533598196,0.91067582,0.488163829,0.08932418,0.728535235,1006
Baramula,Jammu & Kashmir,0,0,4588,1169780,0.525582588,0.474417412,0.382187249,0.483505634,0.269941834,0.317599036,0.468331989,0.150609769,0.078794303,0.016519346,0.682400964,0.832171861,0.353342414,0.167828139,0.52521368,1003
Kupwara,Jammu & Kashmir,0,0,2379,650393,0.524764258,0.475235742,0.357563811,0.469421599,0.234048335,0.326727071,0.453377204,0.186877608,0.074573373,0.020047879,0.673272929,0.960800624,0.350020323,0.039199376,0.542459306,1008
Srinagar,Jammu & Kashmir,0,0,2228,1202447,0.540141062,0.459858938,0.533301676,0.624655307,0.425999537,0.31990516,0.501369534,0.106760755,0.017871058,0.006792815,0.68009484,0.213132887,0.327109696,0.786867113,0.589151375,1013
Anantnag,Jammu & Kashmir,0,0,3984,1172434,0.520291121,0.479708879,0.395072985,0.491650096,0.290325678,0.336895723,0.459517678,0.203900239,0.094039409,0.015131769,0.663104277,0.85639874,0.368780694,0.14360126,0.551873036,1001
Doda,Jammu & Kashmir,0,0,11691,691929,0.525380494,0.474619506,0.396608612,0.533205328,0.245402752,0.459989392,0.527219511,0.38556895,0.154033145,0.009115097,0.540010608,0.931069517,0.372693773,0.068930483,0.719635182,1004
Pulwama,Jammu & Kashmir,0,0,1398,652607,0.514159364,0.485840636,0.431374472,0.530988484,0.325954148,0.325768801,0.469524116,0.173634262,0.11355839,0.011182841,0.674231199,0.895025643,0.414624208,0.104974357,0.574189499,1010
Badgam,Jammu & Kashmir,0,0,1371,629309,0.518107957,0.481892043,0.359389426,0.455101978,0.256483732,0.359111343,0.485336605,0.2233998,0.095204423,0.011272682,0.640888657,0.887832527,0.337943267,0.112167473,0.52914093,1002
Punch,Jammu & Kashmir,0,0,1674,372613,0.521219066,0.478780934,0.419733074,0.535757133,0.293424888,0.53970205,0.576815146,0.499299327,0.11997166,0.010117736,0.46029795,0.935649051,0.394745221,0.064350949,0.78305113,1011
Rajauri,Jammu & Kashmir,0,26841,2630,483284,0.532473659,0.467526341,0.484659124,0.584620885,0.370810983,0.45151919,0.521462213,0.371859897,0.132468693,0.003271368,0.54848081,0.930361858,0.464856582,0.069638142,0.749220027,1012
Udhampur,Jammu & Kashmir,0,1548,4550,743509,0.537567131,0.462432869,0.461902949,0.565163653,0.341864855,0.492838688,0.578266439,0.393530974,0.181516296,0.003814345,0.507161312,0.84313976,0.406980899,0.15686024,0.757114562,1014
Lahul & Spiti,Himachal Pradesh,0,0,13835,33224,0.555050566,0.444949434,0.650403323,0.744319722,0.533247649,0.634721888,0.683477035,0.573902456,0.300415362,0.005598363,0.365278112,1,0.650403323,0,0,907
Chamba,Himachal Pradesh,0,0,6528,460887,0.510359372,0.489640628,0.534120077,0.648475032,0.414926286,0.500018443,0.538725778,0.459673238,0.158014871,0.001447209,0.499981557,0.925053213,0.512603643,0.074946787,0.799693127,902
Jammu,Jammu & Kashmir,0,0,3097,1588772,0.535194477,0.464805523,0.673837404,0.735744477,0.602555283,0.332540478,0.505647405,0.133218682,0.056264839,0.006352076,0.667459522,0.558641517,0.620426475,0.441358483,0.741441321,1005
